value               	form                	character           	language            
LAK797              	A                   	𒀀                   	sux                 
MZL839              	A                   	𒀀                   	sux                 
ʾu₄                 	A                   	𒀀                   	sux                 
a                   	A                   	𒀀                   	sux                 
aia₂                	A                   	𒀀                   	sux                 
aya₂                	A                   	𒀀                   	sux                 
barₓ                	A                   	𒀀                   	sux                 
buniŋₓ              	A                   	𒀀                   	sux                 
burₓ                	A                   	𒀀                   	sux                 
dur₅                	A                   	𒀀                   	sux                 
duru₅               	A                   	𒀀                   	sux                 
e₄                  	A                   	𒀀                   	sux                 
ea                  	A                   	𒀀                   	sux                 
ebir₃               	A                   	𒀀                   	sux                 
emₓ                 	A                   	𒀀                   	sux                 
epir₃               	A                   	𒀀                   	sux                 
eš₁₀                	A                   	𒀀                   	sux                 
ŋa₁₀                	A                   	𒀀                   	sux                 
ia₁₀                	A                   	𒀀                   	sux                 
id₅                 	A                   	𒀀                   	sux                 
me₅                 	A                   	𒀀                   	sux                 
mu₁₄                	A                   	𒀀                   	sux                 
sedₓ                	A                   	𒀀                   	sux                 
šegₓ                	A                   	𒀀                   	sux                 
ṭur₅                	A                   	𒀀                   	sux                 
ya₁₀                	A                   	𒀀                   	sux                 
ai                  	|A.A|               	𒀀𒀀                  	sux                 
aia                 	|A.A|               	𒀀𒀀                  	sux                 
aya                 	|A.A|               	𒀀𒀀                  	sux                 
aye                 	|A.A|               	𒀀𒀀                  	sux                 
ayi                 	|A.A|               	𒀀𒀀                  	sux                 
ayu                 	|A.A|               	𒀀𒀀                  	sux                 
ayya                	|A.A|               	𒀀𒀀                  	sux                 
ayye                	|A.A|               	𒀀𒀀                  	sux                 
ayyi                	|A.A|               	𒀀𒀀                  	sux                 
ayyu                	|A.A|               	𒀀𒀀                  	sux                 
iya                 	|A.A|               	𒀀𒀀                  	sux                 
iyi                 	|A.A|               	𒀀𒀀                  	sux                 
iyu                 	|A.A|               	𒀀𒀀                  	sux                 
iyya                	|A.A|               	𒀀𒀀                  	sux                 
iyyi                	|A.A|               	𒀀𒀀                  	sux                 
iyyu                	|A.A|               	𒀀𒀀                  	sux                 
yaₓ                 	|A.A|               	𒀀𒀀                  	sux                 
ayayaₓ              	|A.A.A|             	𒀀𒀀𒀀                 	sux                 
a₄                  	|A.AN|              	𒀀𒀭                  	sux                 
am₃                 	|A.AN|              	𒀀𒀭                  	sux                 
še₇                 	|A.AN|              	𒀀𒀭                  	sux                 
šeg₃                	|A.AN|              	𒀀𒀭                  	sux                 
šeŋ₃                	|A.AN|              	𒀀𒀭                  	sux                 
šemₓ                	|A.AN|              	𒀀𒀭                  	sux                 
a-ra₂               	|A.DU|              	𒀀𒁺                  	sux                 
tuše                	|A.DU|              	𒀀𒁺                  	sux                 
tuššuru             	|A.DU|              	𒀀𒁺                  	sux                 
eribₓ               	|A.EDIN|            	𒀀𒂔                  	sux                 
eru₄                	|A.EDIN|            	𒀀𒂔                  	sux                 
erua                	|A.EDIN|            	𒀀𒂔                  	sux                 
erum₄               	|A.EDIN|            	𒀀𒂔                  	sux                 
ummuₓ               	|A.EDIN|            	𒀀𒂔                  	sux                 
ummudₓ              	|A.EDIN|            	𒀀𒂔                  	sux                 
ummu₃               	|A.EDIN.LAL|        	𒀀𒂔𒇲                 	sux                 
ummud               	|A.EDIN.LAL|        	𒀀𒂔𒇲                 	sux                 
ummu~b              	|A.EDIN.A.LAL|      	𒀀𒂔𒀀𒇲                	sux                 
ummuₓ~c             	|A.U.EDIN.LAL|      	𒀀𒌋𒂔𒇲                	sux                 
ummudₓ~c            	|A.U.EDIN.LAL|      	𒀀𒌋𒂔𒇲                	sux                 
ummuₓ~d             	|EDIN.A|            	𒂔𒀀                  	sux                 
ummuₓ~e             	|EDIN.A.LAL|        	𒂔𒀀𒇲                 	sux                 
ummuₓ~f             	|EDIN.LAL.A|        	𒂔𒇲𒀀                 	sux                 
ugar                	|A.GAR₃|            	𒀀𒃼                  	sux                 
a-gar3              	|A.GAR₃|            	𒀀𒃼                  	sux                 
adar                	|A.GUD×KUR|         	𒀀𒄠                  	sux                 
ildagₓ              	|A.GUD×KUR|         	𒀀𒄠                  	sux                 
kuar₂               	|A.HA|              	𒀀𒄩                  	sux                 
kuara₂              	|A.HA|              	𒀀𒄩                  	sux                 
[...]ri             	|A.HA|              	𒀀𒄩                  	sux                 
sahₓ                	|A.HA|              	𒀀𒄩                  	sux                 
tuba₂               	|A.HA|              	𒀀𒄩                  	sux                 
zahₓ                	|A.HA|              	𒀀𒄩                  	sux                 
sahₓ                	|A.HA.A|            	𒀀𒄩𒀀                 	sux                 
zahₓ                	|A.HA.A|            	𒀀𒄩𒀀                 	sux                 
girim₃              	|A.HA.TAR.DU|       	𒀀𒄩𒋻𒁺                	sux                 
girima₃             	|A.HA.TAR.DU|       	𒀀𒄩𒋻𒁺                	sux                 
girimma₃            	|A.HA.TAR.DU|       	𒀀𒄩𒋻𒁺                	sux                 
girin₂              	|A.HA.TAR.DU|       	𒀀𒄩𒋻𒁺                	sux                 
nun₂                	|A.HA.TAR.DU|       	𒀀𒄩𒋻𒁺                	sux                 
liq₃                	|A.HU.SI|           	𒀀𒄷𒋛                 	sux                 
er₂                 	|A.IGI|             	𒀀𒅆                  	sux                 
era₂                	|A.IGI|             	𒀀𒅆                  	sux                 
eseš                	|A.IGI|             	𒀀𒅆                  	sux                 
esiš₃               	|A.IGI|             	𒀀𒅆                  	sux                 
eš₉                 	|A.IGI|             	𒀀𒅆                  	sux                 
ir₂                 	|A.IGI|             	𒀀𒅆                  	sux                 
ira₂                	|A.IGI|             	𒀀𒅆                  	sux                 
isiš₂               	|A.IGI|             	𒀀𒅆                  	sux                 
šešₓ                	|A.IGI|             	𒀀𒅆                  	sux                 
uga₂                	|A.KA|              	𒀀𒅗                  	sux                 
ugu₂                	|A.KA|              	𒀀𒅗                  	sux                 
ela                 	|A.KAL|             	𒀀𒆗                  	sux                 
ella                	|A.KAL|             	𒀀𒆗                  	sux                 
illu                	|A.KAL|             	𒀀𒆗                  	sux                 
akšak₂              	|A.KUŠU₂|           	𒀀𒆵                  	sux                 
enigin              	|A.LAGAB.LAGAB|     	𒀀𒆸𒆸                 	sux                 
buniŋₓ              	|A.LAGAB×A|         	𒀀𒆹                  	sux                 
buninₓ              	|A.LAGAB×A|         	𒀀𒆹                  	sux                 
iₓ                  	|A.LAGAB×A|         	𒀀𒆹                  	sux                 
i₇                  	|A.LAGAB×HAL|       	𒀀𒇉                  	sux                 
id₂                 	|A.LAGAB×HAL|       	𒀀𒇉                  	sux                 
ida₂                	|A.LAGAB×HAL|       	𒀀𒇉                  	sux                 
it₂                 	|A.LAGAB×HAL|       	𒀀𒇉                  	sux                 
ita₅                	|A.LAGAB×HAL|       	𒀀𒇉                  	sux                 
iti₅                	|A.LAGAB×HAL|       	𒀀𒇉                  	sux                 
itu₅                	|A.LAGAB×HAL|       	𒀀𒇉                  	sux                 
iₓ~a                	|A.LAGAB×A|         	𒀀𒆹                  	sux                 
id₇                 	|A.LAGAB×HAL.DI|    	𒀀𒇉𒁲                 	sux                 
